Name,Team,playerid,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP
Franchy Cordero,Padres,14567,105,415,377,84,16,5,14,47,50,30,147,3,9,3,0.223,0.284,0.402,0.686,0.29,0.9,1.2,0.1,467.9
Tim Beckham,,7949,37,161,148,35,7,1,6,18,19,11,46,1,1,1,0.239,0.295,0.417,0.712,0.301,-1.6,-0.3,0.1,600.6
Chad Wallach,Marlins,17161,10,38,34,7,2,0,1,4,3,3,11,1,0,0,0.211,0.29,0.341,0.631,0.275,0,0,0.1,999
J.T. Riddle,Pirates,17642,62,186,173,42,9,1,5,18,21,10,40,1,2,1,0.244,0.285,0.393,0.678,0.285,0.2,-0.1,0.1,999
Thairo Estrada,Yankees,16426,16,70,65,16,3,0,2,8,7,3,14,1,1,1,0.25,0.292,0.384,0.676,0.288,0,0,0.1,599.3
Michael Lorenzen,Reds,14843,8,35,32,8,1,0,1,4,7,3,6,0,0,0,0.244,0.306,0.422,0.728,0.309,0,0,0.1,507.8
Chris Herrmann,,9284,10,38,34,7,1,0,1,4,4,4,12,0,0,0,0.204,0.293,0.342,0.635,0.277,0,0,0.1,999
Daulton Varsho,Diamondbacks,sa3002838,3,13,12,3,1,0,0,2,1,1,2,0,0,0,0.267,0.327,0.438,0.765,0.324,-0.1,0,0.1,999
Steven Duggar,Giants,17719,37,161,145,35,8,1,2,16,14,13,46,1,3,2,0.243,0.309,0.363,0.672,0.29,-0.8,-0.2,0.1,600.8
LaMonte Wade,Twins,18126,6,28,24,6,1,0,1,3,3,3,5,0,0,0,0.246,0.341,0.365,0.706,0.309,-0.2,0,0.1,999
Yairo Munoz,Cardinals,16313,47,123,114,29,5,1,3,13,13,7,25,1,3,1,0.255,0.301,0.386,0.687,0.291,-0.3,0,0,999
Pablo Sandoval,Giants,5409,37,101,93,23,5,0,4,11,13,6,22,1,0,0,0.247,0.297,0.421,0.719,0.301,-0.5,-0.3,0,600.9
Santiago Espinal,Blue Jays,sa918188,13,56,52,13,2,0,1,6,5,3,9,0,1,1,0.246,0.294,0.345,0.639,0.275,0.4,-0.1,0,999
Scott Heineman,Rangers,14453,26,112,101,25,5,1,3,13,11,8,28,2,2,2,0.252,0.316,0.396,0.712,0.305,0,-0.2,0,999
Harold Ramirez,Marlins,14387,62,206,192,51,10,1,4,22,21,10,40,3,2,1,0.266,0.308,0.397,0.705,0.3,-0.9,0,0,597
Jaylin Davis,Giants,19552,34,147,133,31,6,0,5,16,16,11,44,2,2,1,0.233,0.296,0.397,0.693,0.295,0.6,0,0,597.8
Ben Zobrist,,7435,23,98,86,22,4,0,2,12,10,11,14,0,0,0,0.26,0.341,0.377,0.718,0.312,-0.4,-0.2,0,999
Bryan Holaday,Orioles,11287,5,19,17,4,1,0,0,2,2,1,3,0,0,0,0.24,0.305,0.378,0.683,0.29,0.2,-0.1,0,999
Rangel Ravelo,Cardinals,10839,10,22,20,5,1,0,1,2,3,2,4,0,0,0,0.261,0.325,0.408,0.733,0.313,0,0,0,999
Erik Kratz,Yankees,4403,3,13,12,3,0,0,0,1,1,1,3,0,0,0,0.231,0.287,0.381,0.668,0.285,0,0,0,999
Eric Haase,Tigers,14111,5,19,17,4,1,0,1,2,2,1,7,0,0,0,0.205,0.266,0.404,0.67,0.282,0.1,0,0,999
David Freitas,Brewers,10619,3,13,11,3,1,0,0,1,1,1,2,0,0,0,0.258,0.327,0.386,0.713,0.307,-0.1,0,0,999
Vimael Machin,Athletics,sa602488,10,42,37,9,2,0,1,4,4,4,7,0,0,0,0.239,0.318,0.341,0.659,0.286,0,0,0,999
Devon Travis,,13862,16,70,66,17,4,0,2,8,8,3,13,1,1,0,0.258,0.296,0.408,0.704,0.298,-0.6,0,0,999
Alex Kirilloff,Twins,sa917929,6,28,26,7,1,0,1,3,3,1,6,0,0,0,0.273,0.315,0.429,0.745,0.314,-0.1,0,0,999
Dwight Smith Jr.,Orioles,13473,40,175,158,39,8,1,5,20,20,14,36,2,3,1,0.25,0.314,0.41,0.724,0.308,-1.1,0,0,999
Austin Wynns,Orioles,15271,6,26,23,6,1,0,1,3,2,2,5,0,0,0,0.241,0.297,0.35,0.647,0.28,0.1,0,0,999
Daniel Johnson,Indians,sa918018,8,35,32,8,2,0,1,4,4,2,9,0,1,0,0.253,0.308,0.419,0.727,0.307,0.1,0,0,999
Daniel Descalso,Cubs,8392,39,108,92,20,4,1,3,12,12,13,29,1,1,0,0.217,0.318,0.36,0.679,0.296,-0.4,0,0,999
Alex Jackson,Braves,17276,8,32,29,6,1,0,1,3,4,2,11,1,0,0,0.204,0.269,0.398,0.667,0.281,-0.1,0,0,999
Zack Collins,White Sox,19181,11,48,40,8,2,0,2,6,5,7,16,0,0,0,0.206,0.32,0.381,0.701,0.303,-0.2,0,0,600.8
Anthony Bemboom,Angels,13854,8,32,29,6,1,0,1,3,3,2,8,0,0,0,0.203,0.267,0.305,0.572,0.249,0.2,0,0,999
Jake Cronenworth,Padres,sa857694,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.252,0.32,0.358,0.678,0.295,0,0,0,999
Ryon Healy,Brewers,15447,6,28,26,7,1,0,1,3,4,2,6,0,0,0,0.259,0.303,0.469,0.773,0.322,-0.2,0,0,599.2
Jared Walsh,Angels,18607,5,21,19,4,1,0,1,3,3,2,7,0,0,0,0.233,0.301,0.433,0.734,0.309,0.1,0,0,999
Taylor Ward,Angels,17548,5,21,18,4,1,0,1,2,2,2,5,0,0,0,0.238,0.321,0.4,0.721,0.309,-0.1,0,0,999
Nick Williams,Phillies,14330,11,29,27,7,1,0,1,3,4,2,9,0,0,0,0.245,0.299,0.436,0.735,0.309,-0.1,0,0,999
Abraham Almonte,,5486,10,42,37,8,2,0,1,5,4,5,10,0,1,0,0.229,0.315,0.397,0.712,0.305,-0.4,0,0,999
Kevan Smith,,12284,3,13,12,3,1,0,0,1,1,1,2,0,0,0,0.259,0.311,0.38,0.691,0.297,-0.1,0,0,999
Andy Young,Diamondbacks,sa919031,3,14,13,3,1,0,1,2,2,1,4,0,0,0,0.237,0.306,0.419,0.725,0.308,0,0,0,999
Yu-Cheng Chang,Indians,14773,16,70,63,14,3,0,2,8,7,5,20,1,1,0,0.221,0.287,0.368,0.655,0.28,0.2,0,0,999
Jason Martin,Pirates,16429,21,71,65,16,4,1,2,8,8,5,16,0,1,1,0.249,0.302,0.407,0.709,0.3,0.1,-0.1,0,999
Breyvic Valera,Padres,12758,3,14,13,3,1,0,0,1,1,1,2,0,0,0,0.258,0.322,0.373,0.694,0.3,-0.1,0,0,999
Cedric Mullins II,Orioles,17929,6,28,25,6,1,0,1,3,3,2,5,0,1,0,0.237,0.292,0.377,0.669,0.285,0,0.1,0,600.2
Dylan Moore,Mariners,18042,13,56,50,11,2,0,1,6,5,4,15,1,2,1,0.213,0.288,0.352,0.64,0.277,-0.2,0,0,600.5
Donnie Walton,Mariners,19314,3,14,13,3,1,0,0,1,1,1,2,0,0,0,0.241,0.309,0.346,0.655,0.286,0,0,0,999
Esteban Quiroz,Padres,sa596560,3,14,12,3,1,0,0,2,2,1,3,0,0,0,0.234,0.32,0.383,0.703,0.302,0,0,0,999
Yonathan Daza,Rockies,15794,21,51,48,14,3,0,1,6,5,2,8,0,1,1,0.298,0.333,0.414,0.747,0.318,0.1,-0.1,0,999
Aramis Garcia,Giants,16925,5,19,18,4,1,0,1,2,2,1,6,0,0,0,0.212,0.265,0.357,0.621,0.265,0.1,0,0,999
Alex Blandino,Reds,16271,11,49,42,9,2,0,1,5,4,6,14,1,0,0,0.216,0.322,0.346,0.668,0.295,-0.3,-0.1,0,999
Tim Lopes,Mariners,14137,19,84,77,19,4,0,1,8,7,6,17,1,3,1,0.248,0.303,0.349,0.652,0.282,0.3,0,0,999
Edwin Rios,Dodgers,18316,8,15,14,3,1,0,1,2,2,1,5,0,0,0,0.228,0.283,0.432,0.715,0.298,0,0,0,600.6
Socrates Brito,Pirates,12944,15,63,58,14,3,1,2,7,7,4,16,0,1,1,0.245,0.291,0.407,0.698,0.294,0.1,0,0,999
Robel Garcia,Cubs,13167,3,14,13,3,0,0,1,2,2,1,5,0,0,0,0.22,0.292,0.423,0.715,0.301,0,0,0,999
Wyatt Mathisen,Diamondbacks,sa657937,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.235,0.32,0.407,0.728,0.312,0,0,0,999
Jack Mayfield,Astros,15402,3,14,13,3,1,0,0,2,2,1,3,0,0,0,0.232,0.278,0.404,0.682,0.287,0,0,0,999
Luis Torrens,Padres,15905,3,13,12,3,1,0,0,1,1,1,3,0,0,0,0.238,0.296,0.363,0.66,0.283,0,0,0,999
Deivy Grullon,Phillies,15988,3,13,12,3,1,0,1,1,2,1,4,0,0,0,0.231,0.293,0.418,0.711,0.3,-0.2,0,0,600.1
Welington Castillo,Nationals,3256,10,38,35,9,2,0,1,4,6,2,11,0,0,0,0.245,0.294,0.419,0.713,0.301,-0.2,-0.1,0,581.8
Cheslor Cuthbert,,10473,5,21,19,5,1,0,1,2,2,1,5,0,0,0,0.241,0.297,0.404,0.701,0.297,-0.1,0,0,999
Hernan Perez,,5751,3,14,13,3,1,0,0,2,2,1,3,0,0,0,0.253,0.293,0.407,0.7,0.295,-0.1,0,0,999
Ryan McBroom,Royals,16524,60,259,235,58,12,0,8,28,27,19,68,3,1,1,0.249,0.309,0.403,0.712,0.302,0.3,-0.3,0,597.5
Juan Lagares,,5384,29,106,96,23,5,1,2,12,9,7,25,1,2,1,0.238,0.296,0.356,0.652,0.278,0.4,0.1,0,999
Andrew Velazquez,Orioles,14196,32,140,130,30,6,1,3,15,14,8,38,1,4,2,0.234,0.281,0.367,0.648,0.277,0.2,0,0,999
Chris Iannetta,Yankees,8267,13,51,44,9,2,0,2,6,6,6,16,1,0,0,0.2,0.3,0.363,0.663,0.283,-0.6,-0.2,0,601
Joe Hudson,,14412,11,45,40,7,2,0,1,4,4,4,14,0,0,0,0.185,0.253,0.3,0.553,0.242,0.5,0,0,999
Logan Morrison,,9205,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.241,0.32,0.485,0.805,0.335,0,0,0,999
Tyler Wade,Yankees,15730,32,140,126,29,5,1,2,15,12,11,35,1,5,2,0.23,0.295,0.34,0.635,0.275,-0.1,0.3,0,600.9
Edmundo Sosa,Cardinals,17022,6,28,26,6,1,0,1,3,3,1,6,1,0,0,0.247,0.287,0.371,0.658,0.28,0,0,0,999
Mike Freeman,Indians,11241,6,28,25,6,1,0,0,3,2,2,7,0,0,0,0.237,0.307,0.334,0.641,0.28,0.2,0,0,999
Kelvin Gutierrez,Royals,17468,5,21,19,5,1,0,0,2,2,1,5,0,0,0,0.247,0.301,0.363,0.665,0.286,0.1,0,0,999
Nicky Delmonico,White Sox,13157,5,21,19,4,1,0,1,2,2,2,5,0,0,0,0.233,0.312,0.41,0.722,0.307,-0.2,0,0,999
Kyle Farmer,Reds,14813,37,117,107,26,6,0,3,12,13,7,27,1,1,0,0.238,0.29,0.378,0.668,0.284,-0.2,0.1,0,600.8
Nick Gordon,Twins,sa828662,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.25,0.294,0.361,0.655,0.281,0,0,0,999
Matt Adams,Mets,9393,5,13,12,3,1,0,1,2,2,1,4,0,0,0,0.223,0.281,0.446,0.727,0.301,0,0,0,600.8
Bobby Bradley,Indians,17278,5,21,19,4,1,0,1,3,3,2,7,0,0,0,0.226,0.292,0.45,0.742,0.309,0.1,0,0,999
Cristian Pache,Braves,sa916722,6,28,26,6,1,0,1,3,3,2,7,0,0,0,0.247,0.293,0.398,0.691,0.292,0.2,-0.1,0,576.4
Meibrys Viloria,Royals,17109,23,90,81,19,4,0,1,8,8,6,22,1,0,0,0.233,0.291,0.341,0.632,0.274,0.4,0,0,999
Logan Forsythe,Phillies,7185,3,14,12,3,1,0,0,1,1,2,4,0,0,0,0.23,0.324,0.357,0.681,0.298,-0.1,0,0,999
Brent Rooker,Twins,sa3003172,3,14,13,3,1,0,1,2,2,1,5,0,0,0,0.229,0.303,0.427,0.73,0.308,-0.1,0,0,999
Ryan McKenna,Orioles,sa875055,10,42,38,9,2,0,1,5,4,3,10,0,1,1,0.234,0.303,0.355,0.659,0.285,-0.1,0,0,999
Taylor Jones,Astros,sa876202,3,14,12,3,1,0,0,2,2,1,4,0,0,0,0.227,0.304,0.379,0.683,0.293,0,0,0,999
Cesar Puello,Red Sox,7216,2,7,6,2,0,0,0,1,1,1,2,0,0,0,0.247,0.332,0.381,0.713,0.309,0,0,0,999
Ronny Rodriguez,Brewers,11875,3,14,13,3,1,0,1,2,2,1,3,0,0,0,0.246,0.278,0.428,0.706,0.294,0,0,0,999
Tres Barrera,Nationals,19977,2,6,6,1,0,0,0,1,1,0,1,0,0,0,0.234,0.294,0.363,0.657,0.283,0,0,0,999
Yusniel Diaz,Orioles,sa912848,26,112,101,25,4,1,3,13,12,10,25,1,1,1,0.245,0.314,0.404,0.718,0.306,-0.5,-0.4,0,999
Nick Martini,Phillies,12005,3,6,5,1,0,0,0,1,1,1,1,0,0,0,0.249,0.335,0.361,0.696,0.304,0,0,0,999
Brandon Dixon,Tigers,15214,3,14,13,3,1,0,0,1,2,1,4,0,0,0,0.235,0.28,0.408,0.688,0.29,-0.1,0,0,600.3
Beau Taylor,,12384,3,13,11,2,1,0,0,1,1,1,4,0,0,0,0.21,0.304,0.328,0.631,0.278,0,0,0,999
Yangervis Solarte,,5352,3,14,13,3,1,0,0,2,2,1,2,0,0,0,0.253,0.305,0.414,0.719,0.303,-0.1,0,0,999
Austin Dean,Cardinals,18288,2,7,6,2,0,0,0,1,1,0,1,0,0,0,0.266,0.318,0.438,0.756,0.319,-0.1,0,0,999
Raudy Read,Nationals,15766,2,6,6,1,0,0,0,1,1,0,1,0,0,0,0.246,0.285,0.409,0.694,0.29,0,0,0,999
Mac Williamson,Nationals,14158,3,14,13,3,1,0,1,2,2,1,4,0,0,0,0.237,0.306,0.429,0.735,0.31,0,0,0,999
Seby Zavala,White Sox,18887,3,13,12,2,0,0,0,1,1,1,5,0,0,0,0.204,0.261,0.356,0.617,0.264,0,0,0,999
Bobby Dalbec,Red Sox,sa857701,13,56,50,11,2,0,2,7,7,5,18,1,0,0,0.229,0.308,0.426,0.733,0.309,0,-0.1,0,999
Eric Filia,Mariners,sa827359,3,14,12,3,1,0,0,1,1,1,2,0,0,0,0.258,0.332,0.356,0.688,0.298,-0.1,0,0,999
Christian Lopes,Marlins,sa601044,2,7,6,1,0,0,0,1,1,1,1,0,0,0,0.234,0.311,0.355,0.666,0.29,0,0,0,999
Tzu-Wei Lin,Red Sox,14678,6,28,26,6,1,0,0,3,2,2,7,0,1,0,0.243,0.299,0.351,0.65,0.281,0.1,0,0,999
Josh Phegley,,9308,5,19,18,4,1,0,1,2,3,1,4,0,0,0,0.235,0.288,0.395,0.683,0.289,-0.2,0,0,599.5
Mark Mathias,Brewers,sa875006,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.229,0.301,0.36,0.661,0.286,0,0,0,999
Daz Cameron,Tigers,sa874736,3,14,12,3,1,0,0,1,1,1,4,0,0,0,0.221,0.297,0.364,0.662,0.286,0,0,0,999
Brian O'Grady,Rays,16729,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.209,0.287,0.393,0.68,0.288,0,0,0,600.5
Kean Wong,Giants,15994,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.252,0.303,0.357,0.661,0.284,0,0,0,999
Eduardo Nunez,,6848,13,56,53,14,3,0,1,6,6,2,8,0,1,0,0.257,0.287,0.386,0.673,0.285,-0.5,0,0,999
Wilmer Difo,Nationals,14320,2,7,6,2,0,0,0,1,1,1,1,0,0,0,0.246,0.308,0.351,0.659,0.283,0,0,0,999
Pat Valaika,,14885,2,7,7,1,0,0,0,1,1,0,2,0,0,0,0.223,0.266,0.395,0.66,0.278,0,0,0,999
Luke Raley,Dodgers,sa918048,3,14,13,3,1,0,0,2,2,1,4,0,0,0,0.239,0.296,0.401,0.696,0.295,0,0,0,999
Michael A. Taylor,Nationals,11489,58,172,157,36,9,1,5,19,18,13,54,1,7,2,0.232,0.292,0.388,0.679,0.288,0.6,0.6,0,600.5
Sean Rodriguez,Marlins,6589,5,21,18,4,1,0,1,2,2,2,7,0,0,0,0.198,0.294,0.361,0.655,0.283,0,0,0,999
Cristhian Adames,Giants,6013,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.234,0.294,0.351,0.645,0.278,-0.1,0,0,999
John Hicks,Diamondbacks,12547,5,19,18,4,1,0,1,2,2,1,6,0,0,0,0.232,0.274,0.389,0.663,0.28,0,0,0,599.5
Skye Bolt,Athletics,17723,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.208,0.274,0.344,0.619,0.266,0,0,0,999
Keon Broxton,Brewers,9253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999
Luis Alexander Basabe,White Sox,sa736915,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.214,0.284,0.337,0.621,0.269,0,0,0,999
Justin Williams,Cardinals,15490,2,7,6,2,0,0,0,1,1,0,2,0,0,0,0.247,0.301,0.396,0.697,0.296,0,0,0,999
Humberto Arteaga,Royals,13595,3,14,13,3,1,0,0,1,1,1,2,0,0,0,0.25,0.281,0.326,0.608,0.262,0.2,0,0,999
Josh Ockimey,Red Sox,sa829375,3,14,12,3,1,0,1,2,2,2,5,0,0,0,0.219,0.318,0.408,0.726,0.31,0,0,0,999
Gordon Beckham,,9015,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.227,0.29,0.356,0.647,0.279,0,0,0,999
Ian Miller,,15156,3,14,13,3,1,0,0,1,1,1,3,0,1,0,0.245,0.301,0.336,0.637,0.277,0,0.1,0,999
Edward Olivares,Padres,sa832015,2,7,6,2,0,0,0,1,1,0,1,0,0,0,0.235,0.285,0.363,0.647,0.277,0,0,0,999
Jose Trevino,Rangers,16725,8,32,30,7,1,0,1,3,3,1,6,0,0,0,0.231,0.264,0.343,0.607,0.259,0.4,0,0,999
Erick Mejia,Royals,15817,11,49,45,11,2,0,0,5,4,3,10,0,1,1,0.239,0.292,0.331,0.624,0.271,0.3,0,0,999
Dustin Fowler,Athletics,17098,3,14,13,3,1,0,0,2,2,1,3,0,0,0,0.244,0.283,0.398,0.682,0.287,0,0,0,999
Elliot Soto,,sa390666,3,14,13,3,0,0,0,1,1,1,3,0,0,0,0.224,0.286,0.312,0.598,0.261,0,0,0,999
Troy Stokes Jr.,Tigers,sa828871,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.219,0.301,0.369,0.671,0.29,0,0,0,999
Patrick Wisdom,Mariners,13602,18,77,69,14,3,0,3,9,9,6,26,1,1,0,0.208,0.277,0.386,0.663,0.281,0,0.1,0,600.9
Travis Jankowski,Reds,13768,2,7,6,1,0,0,0,1,0,1,2,0,0,0,0.24,0.32,0.313,0.633,0.282,0,0,0,999
Kyle Garlick,Phillies,18063,2,7,6,1,0,0,0,1,1,0,2,0,0,0,0.225,0.278,0.437,0.715,0.297,0,0,0,600.9
Matt Thaiss,Angels,19318,28,119,106,25,5,1,3,13,13,11,27,1,1,0,0.237,0.309,0.392,0.701,0.3,-0.2,-0.1,0,999
Tyrone Taylor,Brewers,13675,3,14,13,3,1,0,0,1,2,1,3,0,0,0,0.23,0.283,0.385,0.668,0.284,0.1,0,0,999
Caleb Joseph,Blue Jays,7087,3,13,12,3,1,0,0,1,1,1,4,0,0,0,0.212,0.255,0.332,0.587,0.251,0,0,0,999
Phil Gosselin,Phillies,10953,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.24,0.303,0.354,0.657,0.284,0,0,0,999
Jacob Nottingham,Brewers,16448,2,6,6,1,0,0,0,1,1,0,2,0,0,0,0.204,0.274,0.341,0.615,0.265,0,0,0,999
Daniel Palka,White Sox,14897,8,35,31,7,1,0,2,4,5,3,11,0,0,0,0.222,0.296,0.424,0.72,0.302,-0.4,0,0,999
Elias Diaz,Rockies,11680,16,64,59,16,3,0,1,7,7,4,11,0,0,0,0.28,0.329,0.404,0.733,0.314,-0.4,0,0,572.2
Adrian Sanchez,Nationals,11338,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.256,0.294,0.366,0.659,0.28,0,0,0,999
Sam Haggerty,Mariners,18054,2,7,6,1,0,0,0,1,0,1,2,0,0,0,0.203,0.288,0.298,0.586,0.26,0,0,0,999
Jacoby Ellsbury,,4727,19,84,75,18,3,0,1,9,7,7,15,1,3,1,0.241,0.311,0.349,0.66,0.287,-0.7,0.2,0,999
