Name,Team,playerid,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,ADP
Max Kepler,Twins,12144,143,619,539,140,33,1,30,90,86,64,106,7,6,3,0.26,0.344,0.491,0.835,0.35,118,1.2,5.8,15.2,-0.4,3.6,142.4
Franmil Reyes,Indians,14566,136,572,510,133,23,1,36,81,93,52,148,3,1,1,0.26,0.33,0.518,0.848,0.35,115,-0.6,-0.5,10.3,-15.1,1.5,144.9
Kyle Schwarber,Cubs,16478,138,585,498,126,22,2,37,86,90,75,155,5,5,2,0.254,0.354,0.529,0.883,0.363,124,0.4,1.4,18.6,-5.5,3.1,146
Carlos Santana,Indians,2396,150,654,544,142,30,1,30,92,94,99,103,5,3,1,0.26,0.376,0.483,0.859,0.36,121,-0.4,0,17.4,-12.8,2.7,148.8
David Dahl,Rockies,13744,128,550,500,138,28,5,22,71,75,39,141,5,8,4,0.276,0.331,0.48,0.811,0.339,94,0.9,-3.9,-3.7,-4.7,0.9,149.6
Yuli Gurriel,Astros,19198,144,600,556,161,36,2,23,78,90,32,72,6,5,2,0.289,0.332,0.486,0.818,0.341,116,-1.6,-3.5,10.8,-15.3,1.6,150.7
Corey Seager,Dodgers,13624,133,572,508,141,35,1,22,77,76,52,104,5,2,1,0.278,0.348,0.479,0.827,0.347,117,1.5,-0.1,14.5,6.6,3.8,152
Mallex Smith,Mariners,13608,134,581,518,129,24,6,7,65,47,47,128,7,39,12,0.249,0.318,0.361,0.679,0.295,85,4,-5.1,-6.9,-4,0.9,152.6
Byron Buxton,Twins,14161,123,479,435,114,28,3,17,65,65,33,121,4,21,6,0.262,0.318,0.462,0.78,0.326,102,3.7,5.6,4.7,7.6,2.8,152.8
Will Smith,Dodgers,19197,98,397,351,79,15,1,20,47,55,35,100,6,3,1,0.225,0.304,0.441,0.745,0.313,95,0,0.7,-2.5,8.9,1.9,153.4
Yasiel Puig,,14225,86,359,321,86,16,1,16,45,52,31,75,3,9,4,0.268,0.335,0.479,0.813,0.34,110,-0.7,-0.1,4.2,-4.4,1.2,154.4
Kyle Tucker,Astros,18345,102,422,378,93,19,2,20,57,60,34,101,4,14,6,0.247,0.314,0.465,0.779,0.325,105,0.5,0.1,3.4,-4.6,1.3,155.1
Gavin Lux,Dodgers,19955,130,530,477,127,23,4,17,62,65,44,109,3,9,4,0.267,0.329,0.438,0.767,0.324,103,0.5,-0.9,2.3,1.3,2,155.4
Lourdes Gurriel Jr.,Blue Jays,19238,136,584,543,144,30,2,26,73,83,28,135,7,8,4,0.266,0.308,0.473,0.781,0.325,102,0.4,-0.5,2.1,-8,1.4,158.5
Salvador Perez,Royals,7304,128,550,515,130,26,1,27,66,82,22,110,8,2,1,0.252,0.291,0.465,0.756,0.314,93,-2.6,6.6,-7.7,12.5,1.5,160.9
Scott Kingery,Phillies,17975,136,564,516,124,27,3,17,60,64,35,150,6,14,5,0.24,0.294,0.403,0.697,0.295,79,2.2,2.1,-13.8,4.5,0.9,161.9
Jorge Polanco,Twins,13152,149,660,592,166,35,5,19,91,82,55,109,5,7,4,0.281,0.344,0.454,0.798,0.337,109,1.1,-9.2,8.8,-2,2.9,166.8
Justin Turner,Dodgers,5235,126,556,484,136,29,1,23,79,77,53,87,13,2,1,0.281,0.365,0.488,0.853,0.359,126,-0.7,-3,18.1,-0.9,3.4,171.1
Edwin Encarnacion,White Sox,2151,130,558,477,118,19,1,33,78,89,69,128,7,1,1,0.246,0.346,0.498,0.844,0.353,123,-2.6,-0.2,13.5,-14.6,1.8,173
Willie Calhoun,Rangers,17838,130,549,495,135,25,1,25,72,79,43,84,4,2,1,0.273,0.334,0.484,0.819,0.342,105,-0.3,-3.6,2.8,-11.4,1.1,173
J.D. Davis,Mets,16219,118,492,441,117,22,1,21,60,66,41,114,4,3,1,0.264,0.329,0.462,0.791,0.332,109,-0.7,-3.6,5.2,-7.1,1.4,174
Khris Davis,Athletics,9112,146,621,551,134,24,1,38,84,101,58,173,7,1,0,0.244,0.321,0.498,0.819,0.339,115,-1.9,-0.1,9.9,-17,1.4,175.6
Garrett Hampson,Rockies,19262,62,252,228,62,11,2,5,28,27,19,53,2,11,4,0.271,0.327,0.404,0.732,0.313,76,1,-0.5,-6.8,-1.5,0,175.8
Wilson Ramos,Mets,1433,99,412,373,102,18,1,15,47,55,32,65,2,1,0,0.274,0.332,0.448,0.78,0.328,106,-3.1,-1.2,0.2,7.1,1.6,176
Lorenzo Cain,Brewers,9077,139,627,555,154,29,1,15,81,62,56,108,7,18,6,0.277,0.349,0.415,0.764,0.328,100,1.5,3.2,1.5,5.5,2.7,177.1
Hunter Dozier,Royals,15117,146,621,555,140,30,7,22,73,80,55,168,4,4,2,0.252,0.322,0.446,0.768,0.323,99,-1.1,-1.9,-2,-7.2,1.2,187.6
Ryan McMahon,Rockies,15112,128,519,462,124,26,2,20,63,70,47,138,3,5,2,0.268,0.337,0.463,0.801,0.337,92,0.3,-0.7,-5,-1,1,189.3
Omar Narvaez,Brewers,13338,84,345,301,78,13,1,11,38,42,37,64,3,1,0,0.261,0.343,0.415,0.758,0.325,98,-0.6,-2.7,-1.5,4.3,0.6,190.4
Kevin Newman,Pirates,17696,131,563,517,146,26,4,9,61,53,33,73,5,17,7,0.283,0.33,0.402,0.731,0.312,92,0.3,-4.5,-5.9,1.6,1.4,192.2
Bryan Reynolds,Pirates,19326,141,618,554,160,32,4,17,77,70,50,131,6,6,3,0.288,0.35,0.454,0.804,0.341,111,0.5,-1.9,9.3,-7.1,2.2,194.6
Luke Voit,Yankees,14811,110,471,407,102,18,1,20,62,62,52,124,7,1,0,0.251,0.342,0.447,0.79,0.335,109,-0.6,-2.1,4.8,-11.7,0.9,195.7
Carson Kelly,Diamondbacks,13620,99,390,336,84,18,1,14,43,46,44,75,4,1,0,0.25,0.34,0.43,0.77,0.323,97,-0.3,0.8,-1.9,9.1,2,199.7
Jean Segura,Phillies,5933,131,588,541,156,30,3,14,74,62,33,74,6,12,4,0.288,0.334,0.433,0.767,0.325,99,1.3,0.6,0.2,3.4,2.2,200.4
Christian Vazquez,Red Sox,9774,107,426,391,103,21,1,13,49,52,26,80,3,5,2,0.263,0.312,0.419,0.731,0.308,86,-1.3,2.9,-9,10.9,2.7,200.7
Paul DeJong,Cardinals,18015,150,642,573,145,31,1,29,79,89,51,151,10,7,3,0.253,0.322,0.465,0.787,0.33,105,0.8,2.7,5.4,10.2,3.5,201.7
Christian Walker,Diamondbacks,13419,123,513,453,112,24,2,22,61,70,48,137,6,4,2,0.248,0.325,0.454,0.779,0.326,99,0.4,1.6,-0.4,-8.7,0.7,203.2
Brandon Lowe,Rays,18882,134,570,506,125,27,2,23,70,74,50,157,6,7,3,0.248,0.321,0.448,0.769,0.324,105,1.6,1.2,5.1,3,2.7,205.3
Adam Eaton,Nationals,11205,139,627,544,154,28,5,15,86,63,63,109,11,12,4,0.282,0.366,0.433,0.799,0.344,109,2,-1.2,9.3,-8.2,2.1,208.8
Didi Gregorius,Phillies,6012,134,572,527,136,25,3,23,67,79,34,84,5,5,2,0.259,0.308,0.451,0.759,0.317,93,1.6,0,-3.5,6.8,2.1,210.7
Jorge Alfaro,Marlins,12180,102,413,379,92,17,2,13,39,47,20,133,9,4,2,0.243,0.295,0.4,0.694,0.294,83,-0.9,-1.2,-10.4,7.3,1.1,212.6
Sean Murphy,Athletics,19352,90,358,322,81,17,1,14,44,46,27,76,4,2,1,0.25,0.313,0.442,0.755,0.318,100,0.3,0,0.4,7.5,1.8,214.1
Andrew McCutchen,Phillies,9847,123,554,471,122,23,2,25,78,69,71,123,6,7,3,0.259,0.359,0.477,0.836,0.353,117,-0.8,-2.2,11.5,-8.3,2,215.2
Kolten Wong,Cardinals,12532,136,550,481,128,27,3,12,59,58,49,86,13,15,6,0.267,0.347,0.409,0.756,0.323,101,2.1,1.7,2.6,4,2.4,218.4
Joc Pederson,Dodgers,11899,99,432,373,95,19,2,27,67,65,46,91,7,3,1,0.256,0.346,0.537,0.882,0.364,129,0.7,1.7,17,-3.7,2.6,218.8
Avisail Garcia,Brewers,5760,109,465,424,114,21,2,19,56,65,30,110,6,6,3,0.269,0.324,0.463,0.787,0.329,101,-0.6,-1.4,-0.3,-6.5,0.8,218.8
Justin Upton,Angels,5222,139,603,528,127,24,1,29,78,88,63,181,5,5,2,0.24,0.325,0.457,0.782,0.33,107,0.7,-3.4,6.3,-11.9,1.5,222.5
Alex Verdugo,Red Sox,17027,118,489,440,135,31,3,13,65,63,40,66,3,6,2,0.307,0.367,0.479,0.846,0.357,119,0.4,3.5,12.1,-2.4,2.6,224.1
Nick Senzel,Reds,19293,108,476,428,111,24,3,14,59,51,37,110,4,14,5,0.261,0.323,0.432,0.756,0.32,93,0.3,0.1,-4,-1,1,224.4
Francisco Mejia,Padres,16403,90,368,337,87,17,2,13,40,45,21,74,4,2,1,0.258,0.307,0.432,0.739,0.311,92,0.1,-0.6,-3.8,7,0.9,229
Brian Anderson,Marlins,18289,150,655,576,150,33,2,21,76,76,59,139,12,5,2,0.26,0.339,0.433,0.772,0.329,106,0.1,0.3,5,2.2,2.8,234
Yadier Molina,Cardinals,7007,98,409,377,99,20,1,12,43,48,23,62,5,4,2,0.263,0.311,0.411,0.722,0.306,90,-2.5,3.7,-8,11.9,1.8,234.2
Rougned Odor,Rangers,12282,134,559,502,118,25,1,28,70,77,43,152,7,13,7,0.235,0.302,0.457,0.759,0.316,87,1.5,-3,-7.9,-0.8,1.1,235.3
Tom Murphy,Mariners,13499,103,416,382,83,17,1,17,44,51,26,142,4,3,1,0.217,0.271,0.407,0.678,0.285,78,0.3,0.6,-11.3,6.6,1.4,235.9
Giovanny Urshela,Yankees,10681,126,510,472,126,25,1,17,59,65,27,92,5,2,1,0.268,0.312,0.43,0.741,0.313,94,-1.2,-1.1,-5.2,1,1.3,237.6
Eric Hosmer,Padres,3516,141,614,553,146,26,2,23,73,79,52,136,3,3,2,0.263,0.327,0.441,0.768,0.323,100,-1.3,0.8,-1,-11,0.8,239.7
Aristides Aquino,Reds,15482,62,264,243,58,11,1,15,33,42,17,75,2,3,2,0.24,0.294,0.481,0.776,0.32,93,0.1,-0.7,-2.2,-4.5,0.2,242.6
Luis Arraez,Twins,18568,130,544,490,153,28,2,6,65,57,43,46,3,6,3,0.312,0.37,0.416,0.786,0.338,110,0.9,-3.5,7.7,-1.3,2.5,244.7
Nomar Mazara,White Sox,14553,120,516,466,119,23,1,25,66,76,39,115,5,3,1,0.255,0.318,0.468,0.786,0.328,106,-0.6,-0.8,3.3,-6.8,1.4,245.8
Travis d'Arnaud,Braves,7739,85,352,319,82,17,1,14,41,46,26,71,3,1,1,0.258,0.316,0.442,0.758,0.32,94,-0.4,-0.6,-3.1,5.9,1.6,246.2
Austin Hays,Orioles,19363,112,466,433,112,23,1,20,56,62,23,100,4,8,4,0.259,0.3,0.459,0.759,0.317,94,0.4,-1.4,-2.9,0.5,1.4,248.4
Jon Berti,Marlins,12037,52,228,203,49,9,1,4,25,19,19,51,3,10,3,0.243,0.314,0.363,0.677,0.294,83,1,-0.1,-4.2,-0.7,0.2,248.7
Michael Chavis,Red Sox,17321,112,455,409,102,19,1,21,57,63,34,128,5,3,1,0.249,0.312,0.453,0.766,0.321,95,-0.3,0.6,-3.4,-2.3,1,249.2
Shin-Soo Choo,Rangers,3174,143,650,552,141,27,2,22,90,68,77,161,11,10,3,0.256,0.356,0.432,0.788,0.338,101,-0.3,-2.4,0.9,-16.2,0.8,249.9
Mark Canha,Athletics,11445,131,546,472,119,25,2,23,71,74,55,127,13,3,2,0.251,0.343,0.461,0.804,0.34,115,-0.2,-0.7,10.4,-6.7,2.2,250.9
C.J. Cron,Tigers,12546,131,551,496,130,27,1,29,71,82,37,125,11,2,1,0.262,0.325,0.496,0.82,0.341,111,-1.5,1.4,6.6,-9.9,1.6,251.4
David Peralta,Diamondbacks,2136,128,562,505,141,30,3,20,72,72,45,113,6,2,1,0.279,0.342,0.472,0.814,0.341,109,0.2,0.1,6.7,-6.1,1.8,252.8
Hunter Renfroe,Rays,15464,123,518,470,109,22,1,28,64,76,38,151,5,4,1,0.231,0.293,0.459,0.752,0.312,97,-0.3,0,-2.4,-6.5,0.9,258.2
Miguel Andujar,Yankees,15878,110,452,419,113,24,1,20,57,66,24,75,4,3,1,0.27,0.312,0.475,0.787,0.328,104,0.3,-4.3,2.5,-11.5,0.7,260.4
Shogo Akiyama,Reds,27461,104,428,377,103,18,2,12,48,48,42,82,4,7,4,0.274,0.35,0.428,0.778,0.332,101,-0.5,0,0.1,1.7,1.5,261.3
Yandy Diaz,Rays,16578,122,523,454,125,23,2,12,62,57,60,101,3,4,2,0.274,0.361,0.41,0.771,0.333,110,-0.2,-1.3,6.8,-3.8,2.1,263.7
Ryan Braun,Brewers,3410,107,456,412,111,23,1,21,59,68,34,94,5,8,3,0.268,0.329,0.487,0.815,0.339,107,-0.9,-2,3.4,-9.2,0.9,265.5
Daniel Murphy,Rockies,4316,120,508,463,134,32,2,18,64,71,36,78,3,2,1,0.288,0.341,0.483,0.824,0.344,97,-0.8,-0.8,-2.7,-10.8,0.3,266.4
Buster Posey,Giants,9166,117,508,451,124,26,1,11,55,56,47,74,6,2,1,0.275,0.347,0.41,0.758,0.324,103,-2.2,5.7,-0.5,13,3.6,266.9
Danny Jansen,Blue Jays,16535,77,301,265,66,14,1,11,36,37,26,54,5,2,1,0.25,0.326,0.432,0.758,0.322,100,0.2,0.6,0.2,7,2.2,267.4
Dansby Swanson,Braves,18314,141,585,519,131,28,3,17,67,65,54,130,4,10,4,0.252,0.325,0.416,0.741,0.313,90,1.8,-1.8,-6.1,5.2,1.8,267.4
A.J. Pollock,Dodgers,9256,93,402,364,92,20,1,16,51,53,28,85,6,7,2,0.254,0.315,0.45,0.765,0.321,100,0.9,-0.5,1.1,-3.8,1,270.4
Sam Hilliard,Rockies,17954,78,316,287,71,13,3,12,36,41,23,96,2,9,4,0.248,0.306,0.436,0.742,0.312,76,0.1,-1,-9.9,-3.9,-0.3,270.8
Randal Grichuk,Blue Jays,10243,130,548,502,123,30,3,30,72,85,34,148,5,3,1,0.245,0.298,0.5,0.798,0.329,105,0.2,-1.6,3.6,-4.2,1.8,279.2
Brendan McKay,Rays,20186,3,13,12,3,0,0,0,1,1,1,4,0,0,0,0.214,0.29,0.377,0.666,0.285,79,0,0,-0.4,-0.4,0,279.9
Nick Solak,Rangers,19294,109,458,407,109,18,2,17,55,60,40,100,6,6,2,0.268,0.339,0.445,0.784,0.333,98,0.1,-0.9,-1,-0.3,1.4,280.6
Starlin Castro,Nationals,4579,120,516,479,136,24,2,16,60,68,28,93,3,3,1,0.283,0.325,0.44,0.765,0.322,95,-0.9,-2.8,-4.4,-0.8,1.1,281.8
Wil Myers,Padres,10047,95,402,354,81,18,1,15,47,48,41,125,3,11,4,0.229,0.311,0.416,0.727,0.309,91,0.9,-0.6,-3.7,-6.1,0.3,284.9
Carter Kieboom,Nationals,19958,122,491,434,113,22,1,14,54,58,46,114,5,4,2,0.261,0.336,0.418,0.753,0.322,94,0.4,6.6,-3.2,8.8,2.1,285.6
Joey Votto,Reds,4314,147,658,548,148,30,1,22,90,76,95,121,7,4,1,0.27,0.382,0.452,0.834,0.356,117,-3.9,0,10.9,-12.2,1.9,285.8
Roberto Perez,Indians,2900,101,397,348,77,15,1,15,45,48,40,117,3,1,0,0.22,0.304,0.401,0.705,0.301,82,-1,4.2,-10.4,12.6,2.5,291.1
Dylan Carlson,Cardinals,sa917940,63,261,234,59,11,2,8,28,30,21,55,3,6,3,0.253,0.32,0.42,0.74,0.313,94,0.1,0,-1.8,0.3,0.7,292.7
Dee Gordon,Mariners,8203,75,314,295,81,11,3,3,32,26,12,47,3,14,5,0.274,0.307,0.36,0.666,0.286,79,1.5,-1.7,-6.8,-0.2,0.4,293.7
Kurt Suzuki,Nationals,8259,72,296,268,72,14,0,12,35,42,18,39,7,1,0,0.267,0.326,0.461,0.787,0.331,101,-0.9,-2.3,-0.7,3.7,0.6,296.6
Austin Riley,Braves,18360,71,290,264,66,13,1,15,35,43,20,84,3,1,1,0.25,0.306,0.474,0.78,0.323,97,0.2,-1.7,-1.1,-1.1,0.7,297.3
Niko Goodrum,Tigers,12092,136,587,526,127,28,4,17,67,65,50,161,4,12,5,0.241,0.309,0.407,0.717,0.305,87,2.1,-5.8,-7.8,-1.8,1.1,298.8
Renato Nunez,Orioles,14503,134,567,512,126,24,1,27,68,79,43,140,7,2,1,0.247,0.311,0.454,0.764,0.321,97,-0.3,0,-2.2,-14.3,0.3,301.5
Cesar Hernandez,Indians,10556,133,578,506,140,26,2,11,71,56,59,99,5,9,4,0.277,0.356,0.4,0.755,0.326,98,0.6,-1.3,-0.8,0.9,2,302.1
Gregory Polanco,Pirates,12907,126,542,480,119,27,3,21,65,69,52,123,4,9,3,0.249,0.325,0.449,0.774,0.325,100,0.5,-0.2,0.7,-6.5,1.1,303.1
Tommy La Stella,Angels,12371,89,370,332,92,17,1,11,46,44,29,47,4,2,1,0.276,0.338,0.431,0.769,0.327,106,0.1,-0.2,2.8,-3.6,1.2,304.8
Robinson Chirinos,Rangers,3142,86,339,290,65,14,1,13,40,41,36,99,9,2,1,0.225,0.327,0.416,0.743,0.319,89,-1.4,-1,-6.4,6.2,0.6,306.2
Corey Dickerson,Marlins,10762,118,507,468,127,30,4,18,59,63,29,102,4,4,2,0.272,0.317,0.463,0.78,0.324,102,-0.7,-0.8,0.9,-6.7,1,307.3
Domingo Santana,Indians,10348,89,382,332,82,17,1,15,49,50,42,119,3,5,2,0.248,0.335,0.442,0.777,0.33,101,0.4,-3.8,0.9,-9.8,0.4,319.3
Ian Happ,Cubs,17919,100,411,354,85,17,1,18,51,53,48,120,3,6,3,0.239,0.332,0.445,0.777,0.328,101,0.1,-1.2,0.6,0.1,1.4,322.3
Travis Shaw,Blue Jays,11982,107,448,385,89,19,1,20,56,60,53,112,4,3,1,0.232,0.329,0.441,0.771,0.325,102,-0.4,3.6,0.8,-2.9,1.3,327.9
Jose Peraza,Red Sox,13593,63,262,242,69,12,1,5,31,29,12,33,4,7,3,0.283,0.324,0.404,0.728,0.31,87,0.6,0,-3.7,0.8,0.6,328.7
Trent Grisham,Padres,18564,118,516,446,109,20,4,18,65,55,58,111,4,10,4,0.245,0.335,0.428,0.763,0.325,101,0.8,-0.6,1.7,0.8,1.9,338.8
Willy Adames,Rays,15986,144,572,509,130,24,2,18,65,66,52,139,3,7,3,0.256,0.326,0.415,0.742,0.316,99,1.2,-1,0.5,6.2,2.6,343.1
Kole Calhoun,Diamondbacks,11200,133,569,494,120,25,2,23,70,70,62,137,6,4,2,0.243,0.332,0.442,0.775,0.326,99,-0.1,2,-0.8,-4.7,1.3,343.1
Mike Yastrzemski,Giants,14854,138,598,531,129,28,4,18,69,62,53,155,5,7,3,0.243,0.316,0.415,0.731,0.31,93,0.8,-2.1,-4.8,-5.6,0.9,355.1
Brett Gardner,Yankees,9927,122,523,459,113,20,4,17,69,59,51,103,5,10,3,0.246,0.327,0.422,0.749,0.32,99,2.3,-0.9,1.4,-0.7,1.9,360.2
David Fletcher,Angels,17992,131,571,519,146,28,3,7,68,53,39,61,4,8,3,0.28,0.334,0.386,0.72,0.31,94,0.5,1.8,-4,2.3,1.8,360.9
Jason Castro,Angels,8722,90,354,307,67,15,1,12,40,41,38,110,4,1,1,0.22,0.312,0.387,0.699,0.301,88,-0.9,1.2,-6.3,8.7,1.9,375.2
Jonathan Schoop,Tigers,11265,134,550,509,134,28,2,26,67,79,26,125,8,2,1,0.262,0.306,0.478,0.784,0.326,101,-0.9,-4.2,-0.1,-2.4,1.6,376
Yoshitomo Tsutsugo,Rays,27459,110,455,386,97,18,1,21,60,61,60,116,3,1,1,0.251,0.353,0.468,0.822,0.346,119,0,0,11.2,-10.9,1.6,376.7
Brandon Nimmo,Mets,12927,113,488,400,93,20,3,14,60,48,71,131,10,7,3,0.232,0.358,0.4,0.758,0.33,107,1,-5.1,5.6,-4.3,1.7,377.8
Kevin Kiermaier,Rays,11038,113,474,428,103,19,5,14,54,53,34,109,6,15,6,0.24,0.302,0.411,0.713,0.301,89,2.2,5.1,-4.3,7,1.9,381
James McCann,White Sox,12859,48,196,178,42,8,0,6,21,23,13,54,2,1,1,0.238,0.298,0.391,0.689,0.294,83,-0.6,1.4,-4.9,3.2,0.3,384.5
Kyle Seager,Mariners,9785,139,586,525,127,28,1,25,68,77,49,119,6,3,1,0.243,0.312,0.446,0.758,0.319,101,-0.8,1.3,0.4,3.6,2.4,387.5
Kevin Pillar,Red Sox,12434,71,295,275,75,18,1,9,35,38,12,47,4,6,2,0.273,0.31,0.44,0.75,0.314,90,1.1,2.4,-2.7,0.4,0.8,392.6
Jesus Aguilar,Marlins,11342,94,390,342,83,16,1,17,45,51,39,96,4,1,0,0.243,0.325,0.442,0.767,0.324,103,-0.8,0.5,0.7,-7.3,0.6,394
Teoscar Hernandez,Blue Jays,13066,125,523,466,107,23,3,24,64,68,46,161,4,7,3,0.23,0.303,0.444,0.746,0.313,94,0.2,-3.5,-3.8,-11.1,0.3,401.4
Jurickson Profar,Padres,10815,123,503,440,108,23,2,17,56,60,48,75,8,7,3,0.244,0.327,0.423,0.75,0.319,98,0.6,-1.5,-0.9,0.2,1.5,405.2
Anthony Santander,Orioles,14551,131,561,520,136,29,2,23,66,75,30,112,4,5,2,0.262,0.306,0.455,0.761,0.318,96,0.5,-0.4,-2.7,-6,1.1,413
Luis Urias,Brewers,16622,117,467,409,103,20,2,12,49,52,44,96,7,4,2,0.252,0.333,0.404,0.736,0.316,92,-0.2,-1.6,-5.1,4.1,1.4,413.2
Mitch Haniger,Mariners,14274,76,339,296,74,16,1,13,43,40,34,84,5,4,1,0.249,0.334,0.445,0.779,0.33,109,-0.3,0,3.7,-4.7,1.1,425
Tucker Barnhart,Reds,10200,83,334,292,70,15,1,8,34,34,35,69,2,2,1,0.238,0.321,0.377,0.698,0.298,79,-1.5,2.8,-10.9,9.7,0.8,427.8
Austin Romine,Tigers,5491,78,306,282,73,16,1,9,34,36,17,67,2,2,1,0.258,0.304,0.419,0.723,0.306,88,-0.7,-0.2,-5.5,6.4,1.2,434.5
Matt Carpenter,Cardinals,8090,122,540,450,107,26,2,21,73,59,76,135,6,5,2,0.237,0.352,0.442,0.794,0.338,110,-0.2,-5.7,7.3,-4,2,437
Mike Tauchman,Yankees,15274,84,333,295,73,15,2,9,39,37,31,74,2,6,3,0.247,0.321,0.399,0.72,0.308,91,0.1,1.4,-3.8,-1.9,0.6,437.1
Andrelton Simmons,Angels,10847,133,561,514,143,28,2,11,63,64,37,53,4,10,4,0.278,0.328,0.404,0.732,0.313,96,-0.3,9,-3.3,15.7,3.1,442.6
Howie Kendrick,Nationals,4229,80,334,303,93,19,1,11,43,46,23,54,4,3,1,0.308,0.362,0.483,0.845,0.356,117,-0.7,-0.8,6.7,-4.2,1.3,445.9
Jarrod Dyson,Pirates,4866,86,367,325,78,13,2,6,39,31,33,66,4,19,5,0.239,0.315,0.347,0.661,0.289,77,2.6,1.9,-8.8,3.3,0.6,448.3
Nick Ahmed,Diamondbacks,12147,144,580,525,128,28,4,17,59,68,44,111,4,7,3,0.244,0.304,0.412,0.717,0.303,84,0.6,0.1,-11.8,7.3,1.4,449.5
Freddy Galvis,Reds,6609,136,572,527,127,25,2,16,59,62,34,132,3,6,2,0.241,0.289,0.388,0.676,0.287,71,0.4,-1.7,-21.3,5.1,0.2,450.7
Yoenis Cespedes,Mets,13110,65,285,256,65,13,1,15,38,41,24,73,3,2,1,0.255,0.323,0.491,0.814,0.337,112,0.2,-0.8,4.7,-4.8,0.9,451.8
Robinson Cano,Mets,3269,117,509,463,126,28,1,18,61,66,35,82,5,1,0,0.271,0.327,0.449,0.776,0.326,105,-1.9,-1.6,1.2,0.3,1.7,461.2
Hanser Alberto,Orioles,11902,134,569,537,154,26,2,12,62,59,19,56,5,5,3,0.288,0.316,0.412,0.728,0.308,89,-0.3,0.4,-8.6,2.8,1.4,466.2
Franchy Cordero,Padres,14567,96,402,365,82,15,3,12,41,44,28,135,3,7,3,0.225,0.284,0.383,0.667,0.284,75,1,-0.2,-12.5,-4.5,-0.4,467.9
Nathaniel Lowe,Rays,19566,15,60,53,14,3,0,2,7,8,6,14,0,0,0,0.263,0.345,0.458,0.803,0.339,115,0.1,0,1.2,-1.4,0.2,469.3
Harrison Bader,Cardinals,18030,96,382,335,80,15,2,13,41,44,33,108,7,9,4,0.238,0.318,0.408,0.727,0.308,91,1.2,5.2,-3.2,5.9,1.5,475.6
Mauricio Dubon,Giants,16530,118,483,449,120,23,1,12,48,51,23,76,3,11,5,0.266,0.305,0.404,0.709,0.3,87,0.3,-0.5,-8.3,2.2,0.9,481.6
Miguel Cabrera,Tigers,1744,130,568,504,140,26,1,18,67,72,54,117,4,1,0,0.278,0.35,0.443,0.793,0.336,108,-4.3,0,1.4,-15,0.6,482.6
Ender Inciarte,Braves,4922,102,438,391,104,19,3,8,50,41,36,67,4,13,5,0.265,0.33,0.387,0.718,0.308,87,1.9,1,-5.8,1.8,1,483.5
Jesse Winker,Reds,13590,104,448,387,109,20,2,16,58,53,50,72,5,3,1,0.281,0.369,0.462,0.831,0.352,114,-0.9,-3.9,7.6,-9.3,1.3,483.7
Manuel Margot,Rays,14712,86,359,325,81,16,3,9,42,38,27,68,2,12,5,0.25,0.31,0.404,0.715,0.303,91,0.8,4,-3.5,2.7,1.2,486
Garrett Cooper,Marlins,15279,80,346,312,82,17,1,10,38,39,26,86,3,1,0,0.264,0.325,0.425,0.75,0.319,99,-0.5,0.5,-0.9,-5.2,0.5,486.7
Victor Reyes,Tigers,15487,89,383,358,98,18,3,7,43,38,17,73,2,11,4,0.273,0.308,0.4,0.708,0.3,84,0.3,3.3,-7.5,0.2,0.6,488
Kyle Lewis,Mariners,19508,109,460,418,98,20,1,15,47,52,34,133,3,2,1,0.234,0.293,0.393,0.686,0.292,83,0.5,-0.2,-9.4,-5.7,0.1,488.6
Jose Martinez,Rays,7996,57,238,213,57,10,1,7,28,29,21,51,1,2,1,0.27,0.338,0.427,0.766,0.326,106,-0.2,-0.2,1.8,-6.4,0.4,488.9
Maikel Franco,Royals,12179,120,481,433,116,24,1,21,59,66,40,67,2,1,0,0.268,0.331,0.474,0.804,0.328,102,-1.3,-2.7,-0.2,-2,1.4,489.3
Nico Hoerner,Cubs,21479,76,306,282,77,14,3,7,32,35,17,39,3,4,2,0.273,0.319,0.416,0.735,0.311,90,0.3,2.3,-3.7,3.7,1,492
Delino DeShields,Indians,11379,42,178,156,36,7,1,3,20,15,18,44,1,9,3,0.232,0.313,0.338,0.651,0.286,71,1.3,-0.2,-5.2,0.5,0.2,493.1
Victor Caratini,Cubs,14968,63,257,228,60,12,1,7,29,30,22,53,3,1,0,0.263,0.334,0.421,0.755,0.323,98,-0.1,-0.3,-1,2.2,1,494.9
Stephen Piscotty,Athletics,13367,100,418,372,98,23,1,17,52,56,36,88,5,2,1,0.262,0.334,0.463,0.797,0.336,113,-0.7,-1.6,6,-6.9,1.4,497.5
Eric Thames,Nationals,3711,104,431,372,88,19,2,19,54,56,47,131,6,4,2,0.237,0.33,0.448,0.779,0.327,98,0.2,-1.7,-0.9,-10.2,0.3,499
Justin Smoak,Brewers,9054,104,448,378,91,18,0,23,59,65,62,106,4,1,0,0.24,0.35,0.473,0.822,0.346,112,-2.2,-0.5,4.8,-9.4,1,500.7
Pedro Severino,Orioles,14523,68,274,247,60,11,1,9,29,31,20,58,3,2,1,0.245,0.307,0.402,0.708,0.301,84,-0.3,-0.2,-5.8,5.4,0.5,500.7
